match_no,inningno,ballnumber,over,outcome,batter,bowler,comment,BattingTeam
1,1,58,9.3,1,Ruturaj Gaikwad,Rashid Khan,"Rashid Khan to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,59,9.4,1,Ambati Rayudu,Rashid Khan,"Rashid Khan to Ambati Rayudu, 1 run,",Chennai Super Kings
1,1,60,9.5,0,Ruturaj Gaikwad,Rashid Khan,"Rashid Khan to Ruturaj Gaikwad, no run,",Chennai Super Kings
1,1,61,9.6,0,Ruturaj Gaikwad,Rashid Khan,"Rashid Khan to Ruturaj Gaikwad, no run,",Chennai Super Kings
1,1,62,10.1,0,Ambati Rayudu,Josh Little,"Josh Little to Ambati Rayudu, no run,",Chennai Super Kings
1,1,63,10.2,0,Ambati Rayudu,Josh Little,"Josh Little to Ambati Rayudu, no run,",Chennai Super Kings
1,1,64,10.3,0,Ambati Rayudu,Josh Little,"Josh Little to Ambati Rayudu, no run,",Chennai Super Kings
1,1,65,10.4,1,Ambati Rayudu,Josh Little,"Josh Little to Ambati Rayudu, 1 run,",Chennai Super Kings
1,1,66,10.5,0,Ruturaj Gaikwad,Josh Little,"Josh Little to Ruturaj Gaikwad, no run,",Chennai Super Kings
1,1,67,10.6,6,Ruturaj Gaikwad,Josh Little,"Josh Little to Ruturaj Gaikwad, Six,",Chennai Super Kings
1,1,68,11.1,1,Ambati Rayudu,Yash Dayal,"Yash Dayal to Ambati Rayudu, 1 run,",Chennai Super Kings
1,1,69,11.2,0,Ruturaj Gaikwad,Yash Dayal,"Yash Dayal to Ruturaj Gaikwad, no run,",Chennai Super Kings
1,1,70,11.3,6,Ruturaj Gaikwad,Yash Dayal,"Yash Dayal to Ruturaj Gaikwad, Six,",Chennai Super Kings
1,1,71,11.4,0,Ruturaj Gaikwad,Yash Dayal,"Yash Dayal to Ruturaj Gaikwad, no run,",Chennai Super Kings
1,1,72,11.5,1,Ruturaj Gaikwad,Yash Dayal,"Yash Dayal to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,73,11.6,6,Ambati Rayudu,Yash Dayal,"Yash Dayal to Ambati Rayudu, Six,",Chennai Super Kings
1,1,74,12.1,1,Ruturaj Gaikwad,Josh Little,"Josh Little to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,75,12.2,1,Ambati Rayudu,Josh Little,"Josh Little to Ambati Rayudu, 1 run,",Chennai Super Kings
1,1,76,12.3,4,Ruturaj Gaikwad,Josh Little,"Josh Little to Ruturaj Gaikwad, Four,",Chennai Super Kings
1,1,77,12.4,1,Ruturaj Gaikwad,Josh Little,"Josh Little to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,78,12.5,w,Ambati Rayudu,Josh Little,"Josh Little to Ambati Rayudu, no run,                           Wicket - b Josh Little batsmen out 12(12)",Chennai Super Kings
1,1,79,12.6,0,Shivam Dube,Josh Little,"Josh Little to Shivam Dube, no run,",Chennai Super Kings
1,1,80,13.1,1,Ruturaj Gaikwad,Alzarri Joseph,"Alzarri Joseph to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,81,13.2,1,Shivam Dube,Alzarri Joseph,"Alzarri Joseph to Shivam Dube, 1 run,",Chennai Super Kings
1,1,82,13.3,1,Ruturaj Gaikwad,Alzarri Joseph,"Alzarri Joseph to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,83,13.4,0,Shivam Dube,Alzarri Joseph,"Alzarri Joseph to Shivam Dube, no run,",Chennai Super Kings
1,1,84,13.5,0,Shivam Dube,Alzarri Joseph,"Alzarri Joseph to Shivam Dube, no run,",Chennai Super Kings
1,1,85,13.6,1,Shivam Dube,Alzarri Joseph,"Alzarri Joseph to Shivam Dube, 1 run,",Chennai Super Kings
1,1,86,14.1,1,Shivam Dube,Hardik Pandya,"Hardik Pandya to Shivam Dube, 1 run,",Chennai Super Kings
1,1,87,14.2,1,Ruturaj Gaikwad,Hardik Pandya,"Hardik Pandya to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,88,14.3,4lb,Shivam Dube,Hardik Pandya,"Hardik Pandya to Shivam Dube, 4 leg bye,",Chennai Super Kings
1,1,89,14.4,1,Shivam Dube,Hardik Pandya,"Hardik Pandya to Shivam Dube, 1 run,",Chennai Super Kings
1,1,90,14.5,0,Ruturaj Gaikwad,Hardik Pandya,"Hardik Pandya to Ruturaj Gaikwad, no run,",Chennai Super Kings
1,1,91,14.6,1,Ruturaj Gaikwad,Hardik Pandya,"Hardik Pandya to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,92,15.1,1,Ruturaj Gaikwad,Alzarri Joseph,"Alzarri Joseph to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,93,15.2,0,Shivam Dube,Alzarri Joseph,"Alzarri Joseph to Shivam Dube, no run,",Chennai Super Kings
1,1,94,15.3,1,Shivam Dube,Alzarri Joseph,"Alzarri Joseph to Shivam Dube, 1 run,",Chennai Super Kings
1,1,95,15.4,1,Ruturaj Gaikwad,Alzarri Joseph,"Alzarri Joseph to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,96,15.5,2,Shivam Dube,Alzarri Joseph,"Alzarri Joseph to Shivam Dube, 2 runs,",Chennai Super Kings
1,1,97,15.6,2,Shivam Dube,Alzarri Joseph,"Alzarri Joseph to Shivam Dube, 2 runs,",Chennai Super Kings
1,1,98,16.1,6,Ruturaj Gaikwad,Rashid Khan,"Rashid Khan to Ruturaj Gaikwad, Six,",Chennai Super Kings
1,1,99,16.2,2,Ruturaj Gaikwad,Rashid Khan,"Rashid Khan to Ruturaj Gaikwad, 2 runs,",Chennai Super Kings
1,1,100,16.3,1,Ruturaj Gaikwad,Rashid Khan,"Rashid Khan to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,101,16.4,1b,Shivam Dube,Rashid Khan,"Rashid Khan to Shivam Dube, 1 bye,",Chennai Super Kings
1,1,102,16.5,0,Ruturaj Gaikwad,Rashid Khan,"Rashid Khan to Ruturaj Gaikwad, no run,",Chennai Super Kings
1,1,103,16.6,1,Ruturaj Gaikwad,Rashid Khan,"Rashid Khan to Ruturaj Gaikwad, 1 run,",Chennai Super Kings
1,1,104,17.1,w,Ruturaj Gaikwad,Alzarri Joseph,"Alzarri Joseph to Ruturaj Gaikwad, no run,                           Wicket - c Shubman Gill b Alzarri Joseph batsmen out 92(50)",Chennai Super Kings
1,1,105,17.2,1,Ravindra Jadeja,Alzarri Joseph,"Alzarri Joseph to Ravindra Jadeja, 1 run,",Chennai Super Kings
1,1,106,17.3,1,Shivam Dube,Alzarri Joseph,"Alzarri Joseph to Shivam Dube, 1 run,",Chennai Super Kings
1,1,107,17.4,w,Ravindra Jadeja,Alzarri Joseph,"Alzarri Joseph to Ravindra Jadeja, no run,                           Wicket - c Vijay Shankar b Alzarri Joseph batsmen out 1(2)",Chennai Super Kings
1,1,108,17.5,1,MS Dhoni,Alzarri Joseph,"Alzarri Joseph to MS Dhoni, 1 run,",Chennai Super Kings
1,1,109,17.6,1,Shivam Dube,Alzarri Joseph,"Alzarri Joseph to Shivam Dube, 1 run,",Chennai Super Kings
1,1,110,18.1,2,Shivam Dube,Mohammed Shami,"Mohammed Shami to Shivam Dube, 2 runs,",Chennai Super Kings
1,1,111,18.2,6,Shivam Dube,Mohammed Shami,"Mohammed Shami to Shivam Dube, Six,",Chennai Super Kings
1,1,112,18.3,w,Shivam Dube,Mohammed Shami,"Mohammed Shami to Shivam Dube, no run,                           Wicket - c Rashid Khan b M Shami batsmen out 19(18)",Chennai Super Kings
1,1,113,18.4,0,Mitchell Santner,Mohammed Shami,"Mohammed Shami to Mitchell Santner, no run,",Chennai Super Kings
1,1,114,18.5,1,Mitchell Santner,Mohammed Shami,"Mohammed Shami to Mitchell Santner, 1 run,",Chennai Super Kings
1,1,115,18.6,1,MS Dhoni,Mohammed Shami,"Mohammed Shami to MS Dhoni, 1 run,",Chennai Super Kings
1,1,116,19.1,1,MS Dhoni,Josh Little,"Josh Little to MS Dhoni, 1 run,",Chennai Super Kings
1,1,117,19.2,1lb,Mitchell Santner,Josh Little,"Josh Little to Mitchell Santner, 1 leg bye,",Chennai Super Kings
1,1,118,19.3,6,MS Dhoni,Josh Little,"Josh Little to MS Dhoni, Six,",Chennai Super Kings
1,1,119,19.4,4,MS Dhoni,Josh Little,"Josh Little to MS Dhoni, Four,",Chennai Super Kings
1,1,120,19.5,0,MS Dhoni,Josh Little,"Josh Little to MS Dhoni, no run,",Chennai Super Kings
1,1,121,19.6,1,MS Dhoni,Josh Little,"Josh Little to MS Dhoni, 1 run,",Chennai Super Kings
1,2,1,0.1,0,Wriddhiman Saha,Deepak Chahar,"Deepak Chahar to Wriddhiman Saha, no run,",Gujarat Titans
1,2,2,0.2,0,Wriddhiman Saha,Deepak Chahar,"Deepak Chahar to Wriddhiman Saha, no run,",Gujarat Titans
1,2,3,0.3,0,Wriddhiman Saha,Deepak Chahar,"Deepak Chahar to Wriddhiman Saha, no run,",Gujarat Titans
1,2,4,0.4,1,Wriddhiman Saha,Deepak Chahar,"Deepak Chahar to Wriddhiman Saha, 1 run,",Gujarat Titans
1,2,5,0.5,2,Shubman Gill,Deepak Chahar,"Deepak Chahar to Shubman Gill, 2 runs,",Gujarat Titans
1,2,6,0.6,0,Shubman Gill,Deepak Chahar,"Deepak Chahar to Shubman Gill, no run,",Gujarat Titans
1,2,7,1.1,6,Wriddhiman Saha,Tushar Deshpande,"Tushar Deshpande to Wriddhiman Saha, Six,",Gujarat Titans
1,2,8,1.2,4,Wriddhiman Saha,Tushar Deshpande,"Tushar Deshpande to Wriddhiman Saha, Four,",Gujarat Titans
1,2,9,1.3,1lb,Wriddhiman Saha,Tushar Deshpande,"Tushar Deshpande to Wriddhiman Saha, 1 leg bye,",Gujarat Titans
